"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1486","Verify page title and basic structure","chromium","2026-06-11","passed","2026-06-11","Dream Portal Home Page Tests","homePageTests.spec.ts","",""
"","2814","Verify there are exactly 10 dream entries","chromium","2026-06-11","passed","2026-06-11","Dream Diary Page Tests","dreamDiaryTests.spec.ts","",""
"","1706","Verify correct Total Dreams count (10)","chromium","2026-06-11","passed","2026-06-11","Dream Total (Summary) Page Tests","dreamTotalTests.spec.ts","",""
"","8167","Verify clicking ""My Dreams"" opens new tabs","chromium","2026-06-11","passed","2026-06-11","Dream Portal Home Page Tests","homePageTests.spec.ts","",""
"","1628","Verify all dream statistics at once","chromium","2026-06-11","passed","2026-06-11","Dream Total (Summary) Page Tests","dreamTotalTests.spec.ts","",""
"","3090","Verify specific recurring dream candidates","chromium","2026-06-11","passed","2026-06-11","Dream Diary Page Tests","dreamDiaryTests.spec.ts","",""
"","1528","Verify correct number of Bad Dreams (4)","chromium","2026-06-11","passed","2026-06-11","Dream Total (Summary) Page Tests","dreamTotalTests.spec.ts","",""
"","1746","Verify correct Recurring Dreams count (2)","chromium","2026-06-11","passed","2026-06-11","Dream Total (Summary) Page Tests","dreamTotalTests.spec.ts","",""
"","1856","Verify correct number of Good Dreams (6)","chromium","2026-06-11","passed","2026-06-11","Dream Total (Summary) Page Tests","dreamTotalTests.spec.ts","",""
"","2110","Verify loading animation disappears after ~3 seconds","chromium","2026-06-11","passed","2026-06-11","Dream Portal Home Page Tests","homePageTests.spec.ts","",""
"","3439","Verify statistics consistency with diary page","chromium","2026-06-11","passed","2026-06-11","Dream Total (Summary) Page Tests","dreamTotalTests.spec.ts","",""
"","2886","Extract and validate all dream entries","chromium","2026-06-11","passed","2026-06-11","Dream Diary Page Tests","dreamDiaryTests.spec.ts","",""
"","574","[BONUS] AI-Based Dream Classification Validation","chromium","2026-06-11","skipped","2026-06-11","Dream Total (Summary) Page Tests","dreamTotalTests.spec.ts","",""
"","2661","Verify ""My Dreams"" button is visible and clickable","chromium","2026-06-11","passed","2026-06-11","Dream Portal Home Page Tests","homePageTests.spec.ts","",""
"","7431","Verify ""Flying over mountains"" is marked as recurring","chromium","2026-06-11","passed","2026-06-11","Dream Total (Summary) Page Tests","dreamTotalTests.spec.ts","",""
"","2479","Verify all dream types are either ""Good"" or ""Bad""","chromium","2026-06-11","passed","2026-06-11","Dream Diary Page Tests","dreamDiaryTests.spec.ts","",""
"","2692","Verify loading animation appears on page load","chromium","2026-06-11","passed","2026-06-11","Dream Portal Home Page Tests","homePageTests.spec.ts","",""
"","2097","Verify ""Lost in maze"" is marked as recurring","chromium","2026-06-11","passed","2026-06-11","Dream Total (Summary) Page Tests","dreamTotalTests.spec.ts","",""
"","3412","Verify main content becomes visible","chromium","2026-06-11","passed","2026-06-11","Dream Portal Home Page Tests","homePageTests.spec.ts","",""
"","1842","Verify dream type distribution matches expected values","chromium","2026-06-11","passed","2026-06-11","Dream Diary Page Tests","dreamDiaryTests.spec.ts","",""
"","2156","Verify expected recurring dreams are present","chromium","2026-06-11","passed","2026-06-11","Dream Total (Summary) Page Tests","dreamTotalTests.spec.ts","",""
"","1223","Verify the dreams total page loads successfully","chromium","2026-06-11","passed","2026-06-11","Dream Total (Summary) Page Tests","dreamTotalTests.spec.ts","",""
"","7731","Verify the dreams diary page loads successfully","chromium","2026-06-11","passed","2026-06-11","Dream Diary Page Tests","dreamDiaryTests.spec.ts","",""
"","8424","Verify each row has all three columns filled","chromium","2026-06-11","passed","2026-06-11","Dream Diary Page Tests","dreamDiaryTests.spec.ts","",""
